file_index,file_name,timestep,dominant_mode,estimated_wave_number
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,5,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,6,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,7,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,8,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,9,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,10,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,11,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,12,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,13,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,14,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,15,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,16,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,17,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,18,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,19,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,20,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,21,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,22,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,23,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,24,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,25,"(5,0)",5.000
5,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file5.mat,26,"(5,0)",5.000
