PID: 36440
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 12673
>> Training Mesh resolution: 49x49
>> grid: torch.Size([2401, 2]), edge_index: torch.Size([2, 410273]), edge_attr: torch.Size([410273, 2])
>> Preprocessing completed, time elapsed:  62.43s
>> ntrain: 80, lr: 0.001, gamma: 0.5, w_d: 0.0001
----------------------------------------------------------------------------------------------------
>> epoch [ 76/500], runtime:  1.26s, train err: 8.2746e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 77/500], runtime:  1.26s, train err: 8.3009e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 78/500], runtime:  1.22s, train err: 8.2546e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 79/500], runtime:  1.23s, train err: 8.4309e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 80/500], runtime:  1.23s, train err: 8.4665e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 81/500], runtime:  1.24s, train err: 8.1919e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 82/500], runtime:  1.23s, train err: 8.2664e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 83/500], runtime:  1.22s, train err: 8.2470e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 84/500], runtime:  1.24s, train err: 8.2221e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 85/500], runtime:  1.28s, train err: 8.2206e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 86/500], runtime:  1.25s, train err: 8.5094e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 87/500], runtime:  1.23s, train err: 8.4037e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 88/500], runtime:  1.26s, train err: 8.3819e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 89/500], runtime:  1.25s, train err: 8.2465e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 90/500], runtime:  1.26s, train err: 8.5083e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 91/500], runtime:  1.33s, train err: 8.2491e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 92/500], runtime:  1.27s, train err: 8.2119e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 93/500], runtime:  1.23s, train err: 8.3373e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 94/500], runtime:  1.21s, train err: 8.4986e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 95/500], runtime:  1.26s, train err: 8.2120e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 96/500], runtime:  1.28s, train err: 8.1920e-03 (best: 8.2253e-03/8.1158e-03)
>> epoch [ 97/500], runtime:  1.26s, train err: 8.3627e-03 (best: 8.2253e-03/8.1158e-03)
