PID: 32250
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 12673
>> Training Mesh resolution: 49x49
>> grid: torch.Size([2401, 2]), edge_index: torch.Size([2, 410273]), edge_attr: torch.Size([410273, 2])
>> Preprocessing completed, time elapsed:  64.63s
>> ntrain: 80, lr: 0.01, gamma: 0.5, w_d: 0.0001
----------------------------------------------------------------------------------------------------
>> epoch [136/500], runtime:  0.76s, train err: 8.3393e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [137/500], runtime:  0.78s, train err: 8.4036e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [138/500], runtime:  0.77s, train err: 8.3621e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [139/500], runtime:  0.76s, train err: 8.3804e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [140/500], runtime:  0.80s, train err: 8.3177e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [141/500], runtime:  0.81s, train err: 8.3733e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [142/500], runtime:  0.78s, train err: 8.5083e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [143/500], runtime:  0.80s, train err: 8.4573e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [144/500], runtime:  0.76s, train err: 8.2834e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [145/500], runtime:  0.77s, train err: 8.3270e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [146/500], runtime:  0.77s, train err: 8.5297e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [147/500], runtime:  0.76s, train err: 8.5221e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [148/500], runtime:  0.74s, train err: 8.2494e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [149/500], runtime:  0.77s, train err: 8.2387e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [150/500], runtime:  0.77s, train err: 8.3884e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [151/500], runtime:  0.78s, train err: 8.1990e-03 (best: 8.2511e-03/8.1664e-03)
>> epoch [152/500], runtime: 0.76s, train err: 8.2064e-03, valid err: 8.1393e-03 , test err: 8.2327e-03
>> epoch [153/500], runtime:  0.75s, train err: 8.2499e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [154/500], runtime:  0.77s, train err: 8.3137e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [155/500], runtime:  0.77s, train err: 8.2645e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [156/500], runtime:  0.77s, train err: 8.2030e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [157/500], runtime:  0.80s, train err: 8.2317e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [158/500], runtime:  0.76s, train err: 8.2094e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [159/500], runtime:  0.77s, train err: 8.2621e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [160/500], runtime:  0.75s, train err: 8.2099e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [161/500], runtime:  0.76s, train err: 8.1981e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [162/500], runtime:  0.77s, train err: 8.1833e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [163/500], runtime:  0.76s, train err: 8.2327e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [164/500], runtime:  0.79s, train err: 8.2524e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [165/500], runtime:  0.77s, train err: 8.2937e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [166/500], runtime:  0.76s, train err: 8.2843e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [167/500], runtime:  0.76s, train err: 8.3632e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [168/500], runtime:  0.77s, train err: 8.2027e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [169/500], runtime:  0.76s, train err: 8.1933e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [170/500], runtime:  0.78s, train err: 8.1779e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [171/500], runtime:  0.77s, train err: 8.2715e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [172/500], runtime:  0.76s, train err: 8.1996e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [173/500], runtime:  0.75s, train err: 8.2511e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [174/500], runtime:  0.75s, train err: 8.1932e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [175/500], runtime:  0.78s, train err: 8.1727e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [176/500], runtime:  0.78s, train err: 8.2056e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [177/500], runtime:  0.79s, train err: 8.2523e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [178/500], runtime:  0.79s, train err: 8.1753e-03 (best: 8.2064e-03/8.1393e-03)
>> epoch [179/500], runtime: 0.76s, train err: 8.1763e-03, valid err: 8.1265e-03 , test err: 8.2174e-03
>> epoch [180/500], runtime:  0.77s, train err: 8.1867e-03 (best: 8.1763e-03/8.1265e-03)
>> epoch [181/500], runtime:  0.77s, train err: 8.3327e-03 (best: 8.1763e-03/8.1265e-03)
>> epoch [182/500], runtime:  0.76s, train err: 8.2264e-03 (best: 8.1763e-03/8.1265e-03)
>> epoch [183/500], runtime:  0.77s, train err: 8.2946e-03 (best: 8.1763e-03/8.1265e-03)
>> epoch [184/500], runtime:  0.77s, train err: 8.2725e-03 (best: 8.1763e-03/8.1265e-03)
>> epoch [185/500], runtime:  0.77s, train err: 8.1683e-03 (best: 8.1763e-03/8.1265e-03)
>> epoch [186/500], runtime:  0.76s, train err: 8.2314e-03 (best: 8.1763e-03/8.1265e-03)
>> epoch [187/500], runtime:  0.77s, train err: 8.2330e-03 (best: 8.1763e-03/8.1265e-03)
>> epoch [188/500], runtime:  0.79s, train err: 8.2812e-03 (best: 8.1763e-03/8.1265e-03)
