PID: 10662
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 49921
>> Training Mesh resolution: 49x49
>> grid: torch.Size([2401, 2]), edge_index: torch.Size([2, 410273]), edge_attr: torch.Size([410273, 2])
>> Preprocessing completed, time elapsed:  63.85s
>> ntrain: 80, lr: 0.01, gamma: 0.5, w_d: 0.0
----------------------------------------------------------------------------------------------------
>> epoch [148/500], runtime:  1.42s, train err: 8.2002e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [149/500], runtime:  1.42s, train err: 8.1943e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [150/500], runtime:  1.41s, train err: 8.1975e-03 (best: 8.1615e-03/8.1217e-03)
>> epoch [151/500], runtime: 1.39s, train err: 8.1542e-03, valid err: 8.0899e-03 , test err: 8.1928e-03
>> epoch [152/500], runtime: 1.41s, train err: 8.1527e-03, valid err: 8.0881e-03 , test err: 8.1891e-03
>> epoch [153/500], runtime:  1.40s, train err: 8.1446e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [154/500], runtime:  1.44s, train err: 8.1482e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [155/500], runtime:  1.41s, train err: 8.1885e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [156/500], runtime:  1.41s, train err: 8.1789e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [157/500], runtime:  1.43s, train err: 8.1248e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [158/500], runtime:  1.41s, train err: 8.1292e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [159/500], runtime:  1.40s, train err: 8.1403e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [160/500], runtime:  1.44s, train err: 8.1728e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [161/500], runtime:  1.42s, train err: 8.1459e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [162/500], runtime:  1.41s, train err: 8.1618e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [163/500], runtime:  1.43s, train err: 8.1905e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [164/500], runtime:  1.41s, train err: 8.1553e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [165/500], runtime:  1.38s, train err: 8.1814e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [166/500], runtime:  1.39s, train err: 8.1264e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [167/500], runtime:  1.38s, train err: 8.1564e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [168/500], runtime:  1.37s, train err: 8.1652e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [169/500], runtime:  1.37s, train err: 8.1330e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [170/500], runtime:  1.36s, train err: 8.1541e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [171/500], runtime:  1.41s, train err: 8.1332e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [172/500], runtime:  1.41s, train err: 8.1432e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [173/500], runtime:  1.40s, train err: 8.1264e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [174/500], runtime:  1.38s, train err: 8.1552e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [175/500], runtime:  1.39s, train err: 8.1584e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [176/500], runtime:  1.42s, train err: 8.1975e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [177/500], runtime:  1.43s, train err: 8.1862e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [178/500], runtime:  1.40s, train err: 8.1610e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [179/500], runtime:  1.42s, train err: 8.1873e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [180/500], runtime:  1.41s, train err: 8.1518e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [181/500], runtime:  1.39s, train err: 8.2306e-03 (best: 8.1527e-03/8.0881e-03)
>> epoch [182/500], runtime: 1.36s, train err: 8.1371e-03, valid err: 8.0612e-03 , test err: 8.1672e-03
>> epoch [183/500], runtime:  1.38s, train err: 8.1352e-03 (best: 8.1371e-03/8.0612e-03)
>> epoch [184/500], runtime:  1.38s, train err: 8.1232e-03 (best: 8.1371e-03/8.0612e-03)
>> epoch [185/500], runtime:  1.40s, train err: 8.1120e-03 (best: 8.1371e-03/8.0612e-03)
>> epoch [186/500], runtime:  1.39s, train err: 8.1160e-03 (best: 8.1371e-03/8.0612e-03)
>> epoch [187/500], runtime:  1.39s, train err: 8.1641e-03 (best: 8.1371e-03/8.0612e-03)
>> epoch [188/500], runtime:  1.36s, train err: 8.1196e-03 (best: 8.1371e-03/8.0612e-03)
>> epoch [189/500], runtime:  1.40s, train err: 8.1267e-03 (best: 8.1371e-03/8.0612e-03)
>> epoch [190/500], runtime:  1.41s, train err: 8.1403e-03 (best: 8.1371e-03/8.0612e-03)
>> epoch [191/500], runtime: 1.41s, train err: 8.1060e-03, valid err: 8.0577e-03 , test err: 8.1658e-03
>> epoch [192/500], runtime:  1.36s, train err: 8.1116e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [193/500], runtime:  1.38s, train err: 8.1127e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [194/500], runtime:  1.39s, train err: 8.1225e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [195/500], runtime:  1.41s, train err: 8.1521e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [196/500], runtime:  1.39s, train err: 8.1332e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [197/500], runtime:  1.38s, train err: 8.1543e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [198/500], runtime:  1.38s, train err: 8.1251e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [199/500], runtime:  1.40s, train err: 8.1102e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [200/500], runtime:  1.41s, train err: 8.1301e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [201/500], runtime:  1.42s, train err: 8.1380e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [202/500], runtime:  1.39s, train err: 8.1004e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [203/500], runtime:  1.37s, train err: 8.1189e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [204/500], runtime:  1.39s, train err: 8.1256e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [205/500], runtime:  1.40s, train err: 8.0976e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [206/500], runtime:  1.37s, train err: 8.1067e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [207/500], runtime:  1.35s, train err: 8.0991e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [208/500], runtime:  1.37s, train err: 8.1335e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [209/500], runtime:  1.37s, train err: 8.0993e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [210/500], runtime:  1.40s, train err: 8.1067e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [211/500], runtime:  1.40s, train err: 8.1086e-03 (best: 8.1060e-03/8.0577e-03)
>> epoch [212/500], runtime: 1.38s, train err: 8.1000e-03, valid err: 8.0419e-03 , test err: 8.1638e-03
>> epoch [213/500], runtime:  1.35s, train err: 8.1003e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [214/500], runtime:  1.36s, train err: 8.1097e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [215/500], runtime:  1.39s, train err: 8.0963e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [216/500], runtime:  1.41s, train err: 8.1067e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [217/500], runtime:  1.38s, train err: 8.0898e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [218/500], runtime:  1.40s, train err: 8.1170e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [219/500], runtime:  1.40s, train err: 8.0949e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [220/500], runtime:  1.37s, train err: 8.1165e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [221/500], runtime:  1.38s, train err: 8.0817e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [222/500], runtime:  1.38s, train err: 8.0976e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [223/500], runtime:  1.36s, train err: 8.1015e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [224/500], runtime:  1.38s, train err: 8.0988e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [225/500], runtime:  1.40s, train err: 8.1024e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [226/500], runtime:  1.46s, train err: 8.0931e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [227/500], runtime:  1.43s, train err: 8.1198e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [228/500], runtime:  1.38s, train err: 8.0892e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [229/500], runtime:  1.34s, train err: 8.0984e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [230/500], runtime:  1.33s, train err: 8.1075e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [231/500], runtime:  1.37s, train err: 8.0844e-03 (best: 8.1000e-03/8.0419e-03)
>> epoch [232/500], runtime: 1.37s, train err: 8.0746e-03, valid err: 8.0325e-03 , test err: 8.1703e-03
>> epoch [233/500], runtime:  1.38s, train err: 8.1261e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [234/500], runtime:  1.35s, train err: 8.1101e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [235/500], runtime:  1.35s, train err: 8.1002e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [236/500], runtime:  1.33s, train err: 8.1011e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [237/500], runtime:  1.36s, train err: 8.1410e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [238/500], runtime:  1.37s, train err: 8.1013e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [239/500], runtime:  1.37s, train err: 8.0932e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [240/500], runtime:  1.38s, train err: 8.1104e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [241/500], runtime:  1.39s, train err: 8.1265e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [242/500], runtime:  1.39s, train err: 8.1112e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [243/500], runtime:  1.41s, train err: 8.0935e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [244/500], runtime:  1.41s, train err: 8.0953e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [245/500], runtime:  1.39s, train err: 8.0971e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [246/500], runtime:  1.37s, train err: 8.1062e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [247/500], runtime:  1.36s, train err: 8.0955e-03 (best: 8.0746e-03/8.0325e-03)
>> epoch [248/500], runtime:  1.36s, train err: 8.0896e-03 (best: 8.0746e-03/8.0325e-03)
